Shot_Index,Timestamp,X_mm,Y_mm,Radius_mm,Score
1,1783891322.459,3.388,0.235,3.396,9.5
2,1783891323.440,-11.963,2.323,12.186,5.5
3,1783891324.463,1.930,8.842,9.050,7.0
4,1783891328.277,-0.585,-2.337,2.410,9.9
